class,count,dataset
A,8528,train
B,8309,train
C,8146,train
D,7627,train
E,7744,train
F,8031,train
G,7844,train
H,7906,train
I,7953,train
J,0,train
K,7876,train
L,7939,train
M,7970,train
N,8002,train
O,8140,train
P,7601,train
Q,7954,train
R,8091,train
S,8179,train
T,8054,train
U,8093,train
V,7597,train
W,7787,train
X,8163,train
Y,8178,train
Z,0,train
nothing,2030,train
del,5836,train
space,6071,train
